0.561858	1.878210	bird
2.504280	3.026005	bird
4.591180	5.939638	bird
9.792376	11.100702	bird
12.489293	13.709327	bird
14.736724	16.598880	bird
18.621568	19.921867	bird
23.076296	24.328436	bird
26.070195	27.362468	bird
27.410627	28.751059	bird
34.136866	35.075970	bird
36.143500	37.403666	bird
40.879157	42.139324	bird
42.372093	42.717234	bird
43.246986	43.640286	bird
44.298462	44.747949	bird
45.157302	45.518496	bird
46.449575	48.046856	bird
52.806593	54.058732	bird
66.202884	67.446998	bird
71.973965	73.250185	bird
80.995794	81.381067	bird
92.658353	95.816796	bird
104.561709	106.110831	bird
115.606225	116.994816	bird
121.372353	125.103375	bird
132.478007	133.192369	bird
138.417645	139.493201	bird
143.843585	145.729821	bird
147.913040	148.346473	bird
185.043804	186.191599	bird
195.975948	196.778602	bird
198.167193	198.600626	bird
203.657345	204.283415	bird
208.039835	208.368923	bird
208.706037	209.958177	bird
212.309953	213.690517	bird
216.267036	217.583388	bird
218.361962	221.404020	bird
223.699610	225.023989	bird
225.802563	226.324288	bird
226.934305	227.439977	bird
228.603825	230.008469	bird
231.718121	233.042500	bird
234.519383	236.325354	bird
236.678522	237.287924	bird
238.516599	241.911825	bird
243.019487	244.689007	bird
246.575243	248.011993	bird
248.300949	249.207947	bird
249.970469	251.447352	bird
253.614517	254.946922	bird
256.512097	257.716078	bird
258.438466	260.212331	bird
261.143409	262.949380	bird
265.060360	266.408818	bird
268.648222	269.940495	bird
271.874890	273.167163	bird
275.414594	276.771078	bird
278.721527	280.029853	bird
283.433105	284.781563	bird
286.483189	286.844384	bird
287.911913	289.260371	bird
